layer,top_depth_m,bottom_depth_m,vs_m_s
1.000000000000000000e+00,0.000000000000000000e+00,6.006064056670927798e-01,9.803976288082374424e+01
2.000000000000000000e+00,6.006064056670927798e-01,1.740250511884241957e+00,9.270587253065613709e+01
3.000000000000000000e+00,1.740250511884241957e+00,3.082012013158599295e+00,8.809487109099494262e+01
4.000000000000000000e+00,3.082012013158599295e+00,5.603240504519702014e+00,9.058879927944965971e+01
5.000000000000000000e+00,5.603240504519702014e+00,nan,9.552040903978590336e+01
