layer,top_depth_m,bottom_depth_m,vs_m_s
1.000000000000000000e+00,0.000000000000000000e+00,7.107988714859216905e-01,9.100968931345637714e+01
2.000000000000000000e+00,7.107988714859216905e-01,1.631195145448294248e+00,9.138405125068538837e+01
3.000000000000000000e+00,1.631195145448294248e+00,3.556538341491672472e+00,9.218430257251829119e+01
4.000000000000000000e+00,3.556538341491672472e+00,5.828628807299285342e+00,9.319283039040111305e+01
5.000000000000000000e+00,5.828628807299285342e+00,nan,9.530574528505157161e+01
